2022-12-21 12:08:42,361 - root - INFO - Epoch 50; loss: 4.597606182098389; CER: 0.29401707649230957; WER: 0.8440170884132385; val_loss: 26.19147300720215; val_CER: 0.9153845906257629; val_WER: 1.0
2022-12-21 12:08:45,667 - root - INFO - Epoch 51; loss: 4.312119007110596; CER: 0.2846153676509857; WER: 0.8301281929016113; val_loss: 23.874204635620117; val_CER: 0.8711538314819336; val_WER: 1.0
2022-12-21 12:08:49,036 - root - INFO - Epoch 52; loss: 4.056783676147461; CER: 0.2551282048225403; WER: 0.7938033938407898; val_loss: 21.946474075317383; val_CER: 0.8673076629638672; val_WER: 1.0
2022-12-21 12:08:52,430 - root - INFO - Epoch 53; loss: 3.9649765491485596; CER: 0.25235044956207275; WER: 0.7852563858032227; val_loss: 26.356428146362305; val_CER: 0.9000000357627869; val_WER: 1.0
2022-12-21 12:08:55,780 - root - INFO - Epoch 54; loss: 3.5701041221618652; CER: 0.2282051146030426; WER: 0.7414529919624329; val_loss: 30.471477508544922; val_CER: 0.9384615421295166; val_WER: 1.0
2022-12-21 12:08:59,194 - root - INFO - Epoch 55; loss: 3.4183623790740967; CER: 0.21217948198318481; WER: 0.6997863054275513; val_loss: 27.94000816345215; val_CER: 0.9192308187484741; val_WER: 1.0
2022-12-21 12:09:02,495 - root - INFO - Epoch 56; loss: 3.180647611618042; CER: 0.196367546916008; WER: 0.6623931527137756; val_loss: 25.733243942260742; val_CER: 0.8999999761581421; val_WER: 1.0
2022-12-21 12:09:05,817 - root - INFO - Epoch 57; loss: 2.99796724319458; CER: 0.18589743971824646; WER: 0.6474359035491943; val_loss: 20.349159240722656; val_CER: 0.8250000476837158; val_WER: 1.0
2022-12-21 12:09:09,123 - root - INFO - Epoch 58; loss: 2.9161219596862793; CER: 0.17841878533363342; WER: 0.6367521286010742; val_loss: 22.808780670166016; val_CER: 0.8653846383094788; val_WER: 1.0
2022-12-21 12:09:12,620 - root - INFO - Epoch 59; loss: 2.770883798599243; CER: 0.1717948615550995; WER: 0.6314102411270142; val_loss: 20.12038230895996; val_CER: 0.8096153736114502; val_WER: 1.0
2022-12-21 12:09:16,006 - root - INFO - Epoch 60; loss: 2.5772531032562256; CER: 0.1538461595773697; WER: 0.5747863054275513; val_loss: 20.169387817382812; val_CER: 0.8250000476837158; val_WER: 1.0
2022-12-21 12:09:19,596 - root - INFO - Epoch 61; loss: 2.4531848430633545; CER: 0.14529915153980255; WER: 0.5566239356994629; val_loss: 12.768980979919434; val_CER: 0.6442307829856873; val_WER: 1.0
2022-12-21 12:09:22,878 - root - INFO - Epoch 62; loss: 2.3862740993499756; CER: 0.14102564752101898; WER: 0.5459401607513428; val_loss: 15.571266174316406; val_CER: 0.7076923847198486; val_WER: 1.0
2022-12-21 12:09:26,419 - root - INFO - Epoch 63; loss: 2.2294111251831055; CER: 0.13012820482254028; WER: 0.507478654384613; val_loss: 12.373729705810547; val_CER: 0.6346153616905212; val_WER: 1.0
2022-12-21 12:09:29,760 - root - INFO - Epoch 64; loss: 1.9935427904129028; CER: 0.11581196635961533; WER: 0.4604700803756714; val_loss: 15.349691390991211; val_CER: 0.7019230723381042; val_WER: 1.0
2022-12-21 12:09:33,277 - root - INFO - Epoch 65; loss: 2.006925344467163; CER: 0.12094017118215561; WER: 0.4690170884132385; val_loss: 11.800459861755371; val_CER: 0.607692301273346; val_WER: 1.0
2022-12-21 12:09:36,985 - root - INFO - Epoch 66; loss: 1.8171788454055786; CER: 0.11025640368461609; WER: 0.4433760643005371; val_loss: 9.821335792541504; val_CER: 0.5519230961799622; val_WER: 0.9903846383094788
2022-12-21 12:09:40,508 - root - INFO - Epoch 67; loss: 1.7698030471801758; CER: 0.1061965823173523; WER: 0.43803417682647705; val_loss: 8.005508422851562; val_CER: 0.4692307710647583; val_WER: 0.9711538553237915
2022-12-21 12:09:43,956 - root - INFO - Epoch 68; loss: 1.6605557203292847; CER: 0.0991453006863594; WER: 0.41239315271377563; val_loss: 5.341339588165283; val_CER: 0.32884615659713745; val_WER: 0.9038461446762085
